,код СКМТР,Наименование,Маркировка,Регламенты (ГОСТ/ТУ),Параметры,Базисная Единица измерения,ОКПД2,is_tu,ОКПД2_сокр,Параметры парс
6815,4025201353,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,AEROCOOL AERO BRONZE 850M ACPB-AR85AEC.1M,,"850ВТ ATX 20+4ПИН 80 PLUS BRONZE ВЕНТИЛЯТОР 120ММ ТЕХНОЛОГИИ ЗАЩИТЫ OCP, OPP, OTP, OVP, SCP, UVP РАЗЪЕМЫ ДЛЯ ПИТАНИЯ ПРОЦЕССОРА 4+4PINX2ШТ МОДУЛЬНЫЙ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
8999,4025240320,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,INVT HR1103L,,"3000ВА 2,1КВТ 440Х460Х86 9,5КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
74800,3185720338,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,MEANWELL AD-55A,,"13,8/13,4В 51ВТ AC=88-264В DC=120-370В 159Х97Х38 0,57",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
74802,3185720351,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC SMART-UPS SMT1000I,,"1000ВА, 230В/8ХIEC320C13/USB/LКАБЕЛЯ=1,83М 171Х219Х439 18,86КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
74811,3185720367,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK POWER PRO II 500,,"500ВА/300ВТ/4РАЗЪЕМА/USB/IP20 100Х140Х290 4,8КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
74812,3185720368,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK POWER PRO II 600,,"600ВА/360ВТ/4РАЗЪЕМА/USB/IP20 100Х140Х290 4,8КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
74832,3185720369,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK POWER PRO II 700 (ID 1030304),,700ВА/420ВТ/4РАЗЪЕМА/USB/IP20 100Х140Х290 5КГ ЧЕРНЫЙ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152545,4025100004,БЛОК ПИТАНИЯ,ATX INWIN FOR P3/H4 (DJ2),,450 ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152546,4025100010,БЛОК ПИТАНИЯ,ZALMAN ZM1000-HP,,1000ВТ ATX12V V2.2 1ВЕНТИЛЯТОР(140ММ) 86Х210Х150,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152547,4025100017,БЛОК ПИТАНИЯ ИМПУЛЬСНЫЙ ГЕРМЕТИЧНЫЙ,GERMIKOM M-1000,,1.25А 100-240/12В,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152549,4025100024,СИСТЕМА АВТОНОМНОГО ПИТАНИЯ ДЛЯ СВЕТИЛЬНИКА ПЕРЕНОСНОГО СИНЕГО СВЕТА,СП-АКБ,,"12В 2,5А/Ч",796,26.20.40.110,0,26,|источник света|тип цоколя|мощность|тип питания
152550,4025100026,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,ЭНЕРГИЯ-1 ИП 24-60,,"4А, 24В",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152551,4025100006,БЛОК ПИТАНИЯ,ZALMAN ZM500-HP,,500ВТ ATX12V 2.2 1 ВЕНТИЛЯТОР(120ММ) 150Х165Х86,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152552,4025100013,БЛОК ПИТАНИЯ,ZALMAN ZM750-HP,,750ВТ ATX12V 2.2 1 ВЕНТИЛЯТОР (120 ММ),796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152553,4025100034,БЛОК ПИТАНИЯ,ZALMAN ZM600-LE,,600ВТ ATX 12В V2.3 APFC 12СМ FAN,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152554,4025100041,БЛОК ПИТАНИЯ,HP AM470A,,1200ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152555,4025100043,МОДУЛЬ БЛОКА ПИТАНИЯ,SUPERMICRO PWS-920P-SQ,,"AC 100-240В 11-4,4А/DC 920ВТ 12В 75А/5В 4А 76Х40Х360",796,26.20.40.110,0,26,аритикул маркета|модель/исполнение|номин. напряжение|емкость батареи|особенности
152556,4025100044,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,AEROCOOL VX-750,,750ВТ ATX12V 2.3 24+4+4 PIN 150Х86Х140 ЧЕРНЫЙ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152557,4025100045,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,AEROCOOL VX-600,,600ВТ ATX12V 2.3 150Х86Х140 ЧЕРНЫЙ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152558,4025100046,БЛОК ПИТАНИЯ,ZALMAN ZM600-LE II 600W,,"600ВТ ATX 12В 86Х150Х140 1,91КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152559,4025100047,БЛОК ПИТАНИЯ,ALLEN BRADLEY 1606-XLP25A 568969,,5В 25А 40Х80Х10,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152560,4025100055,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,AEROCOOL VX500,,"ATX12V 500ВТ LКАБЕЛЯ=500 120Х120 149Х150Х86 1,375КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152561,4025100057,БЛОК ПИТАНИЯ,AEROCOOL KCAS-1000M,,1000ВТ ATX12V V2.4 1ВЕНТИЛЯТОР D=140 86Х150Х160,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152562,4025100051,БЛОК ПИТАНИЯ,CHIEFTEC FORCE CPS-550S,,"ATX 550ВТ/ATX12V2.3/ВЕНТИЛЯТОР=120Х120/LКАБЕЛЯ=0,4М 86Х150Х140",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152563,4025100053,БЛОК ПИТАНИЯ,EXEGATE ATX-XP450 450W,,ATX 450ВТ/ATX12V 2.3/ВЕНТИЛЯТОР=120Х120/86Х150Х140,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152564,4025100054,БЛОК ПИТАНИЯ,THERMALTAKE TR2S600W,,600ВТ/ATX12V 2.3/100-240В/ВЕНТИЛЯТОР=120Х120/86Х150Х140,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152565,4025100056,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,EXEGATE ATX-800PPX,,ATX 800ВТ/ATX12V 2.3/ВЕНТИЛЯТОР=135Х135/86Х150Х160,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152566,4025100070,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,AEROCOOL STRIKE-X 600,,"600ВТ ATX12V=2.3/EPS12V/80 PLUS BRONZE ВЕНТИЛЯТОР=139Х139 165Х150Х85 1,9КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152567,4025100071,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,AEROCOOL VX PLUS 350W VX-350PLUS,,350ВТ ATX12V=2.3 ВЕНТИЛЯТОР=120Х120 140Х150Х86,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152568,4025100072,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,AEROCOOL VX PLUS 450W VX-450PLUS,,450ВТ ATX12V=2.3 ВЕНТИЛЯТОР=120Х120 140Х150Х86,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152569,4025100075,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,HIPRO HPA-600W,,"ATX 600ВТ ATX12V 2.31 ВЕНТИЛЯТОР=120Х120 140Х150Х86 1,53КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152570,4025100079,БЛОК ПИТАНИЯ КОМПЬЮТЕРНОГО МОНОБЛОКА,HP TPC-CA52,,"19,5В 7,69А 150ВТ ЧЕРНЫЙ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152571,4025100080,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,FSP GROUP ATX-350PNR-I,,350ВТ ATX 12В V.2.2 150Х86Х160,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152572,4025100081,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,THERMALTAKE TR2 RX 550W W0134RE,,550ВТ ATX V2.3 12В 86Х150Х160,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152573,4025100083,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,FOXCONN FX-300T,,"300ВТ TFX12V2.1 APFC 63Х84Х175 0,86КГ СЕРЕБРИСТЫЙ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152574,4025100089,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ ДВОЙНОГО ПРЕОБРАЗОВАНИЯ (ОНЛАЙН) НАПОЛЬНОГО ИСПОЛНЕНИЯ БЕЗ ВСТРОЕННЫХ АКБ,СВЯЗЬ ИНЖИНИРИНГ СИП380А10БД.9-33 АПСМ.435341.010-01,АПСМ.430504.002 ТУ,"3В3 ФАЗЫ, 10КВА/9КВТ, ЖК-ДИСПЛЕЙ, ПОРТЫ RS232/RS485/USB/EPO, ВНУТРЕННИЕ СЛОТЫ ДЛЯ КАРТ (SNMP, СУХИЕ КОНТАКТЫ), 600Х780Х1200 129КГ ЧЕРНЫЙ",796,26.20.40.110,1,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152575,4025100095,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ ДВОЙНОГО ПРЕОБРАЗОВАНИЯ (ОНЛАЙН) НАПОЛЬНОГО ИСПОЛНЕНИЯ БЕЗ ВСТРОЕННЫХ АКБ,СВЯЗЬ ИНЖИНИРИНГ СИП380А80БД.9-33 АПСМ.435341.010,АПСМ.430504.002 ТУ,"3В3 ФАЗЫ, 80КВА/72КВТ, ЖК-ДИСПЛЕЙ, ПОРТЫ RS232/RS485/USB/EPO, ВНУТРЕННИЕ СЛОТЫ ДЛЯ КАРТ (SNMP, СУХИЕ КОНТАКТЫ), 600Х780Х1200 199КГ ЧЕРНЫЙ",796,26.20.40.110,1,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152576,4025100117,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ ДВОЙНОГО ПРЕОБРАЗОВАНИЯ (ОНЛАЙН) НАПОЛЬНО-СТОЕЧНОГО ИСПОЛНЕНИЯ,СВЯЗЬ ИНЖИНИРИНГ СИПБ1КА.9-11 АПСМ.435241.018,АПСМ.430504.001 ТУ,"19ДЮЙМОВ 2U, 1000ВА/900ВТ, IEC320 6XС13, АКБ 3Х9АЧ, ЖК-ДИСПЛЕЙ, ПОРТЫ RS232/USB/EPO, ВНУТРЕННИЙ СЛОТ ДЛЯ КАРТ (SNMP, MODBUS, СУХИЕ КОНТАКТЫ), 440Х430Х86,5 16,7КГ ЧЕРНЫЙ",796,26.20.40.110,1,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152577,4025100123,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ ДВОЙНОГО ПРЕОБРАЗОВАНИЯ (ОНЛАЙН) НАПОЛЬНО-СТОЕЧНОГО ИСПОЛНЕНИЯ,СВЯЗЬ ИНЖИНИРИНГ СИПБ10КД.9-31 АПСМ.435341.009-03,АПСМ.430504.001 ТУ,"19ДЮЙМОВ 3U, 10КВА/9КВТ, ЗУ 10А ДЛЯ ВНЕШНИХ АКБ, ЖК-ДИСПЛЕЙ, ПОРТЫ RS232/USB/EPO, ВНУТРЕННИЙ СЛОТ ДЛЯ КАРТ (SNMP, MODBUS, СУХИЕ КОНТАКТЫ), 443Х580Х131 25КГ ЧЕРНЫЙ",796,26.20.40.110,1,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152578,4025100124,МОДУЛЬ БАТАРЕЙНЫЙ НАПОЛЬНО-СТОЕЧНОГО ИСПОЛНЕНИЯ ДЛЯ ИСТОЧНИКА БЕСПЕРЕБОЙНОГО ПИТАНИЯ,"СВЯЗЬ ИНЖИНИРИНГ БМСИПБ1,5-3КА.9-11 АПСМ.563473.005",АПСМ.430504.001 ТУ,"19ДЮЙМОВ 2U, АКБ 12Х9АЧ, ЗАРЯДНОЕ УСТРОЙСТВО 2А, СВЕТОДИОДНАЯ ИНДИКАЦИЯ, 440X690X86,5 44,3КГ ЧЕРНЫЙ",796,26.20.40.110,1,26,аритикул маркета|модель/исполнение|номин. напряжение|емкость батареи|особенности
152579,4025100129,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,FOXLINE FL450S,,450ВТ ATX2.3 20+4PIN DВЕНТИЛЯТОРА=120 LПРОВОДОВ=350,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152580,4025100130,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,AEROCOOL ECO 550W 4710700957899,,550ВТ ATX12V=2.3 D=120 FAN 4ХSATA,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152581,4025100131,БЛОК ПИТАНИЯ,ZALMAN WATTBIT ZM600-XE,,600ВТ ATX 1ВЕНТИЛЯТОР D=120 20+4 PIN,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152582,4025100134,БЛОК ПИТАНИЯ,POWERCOOL ATX-450W PC450-120-O,,450ВТ ATX12V2.3 EPS12V ВЕНТИЛЯТОР=120Х120 24+4+4 PIN 190Х150Х90,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152583,4025100136,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,AIRMAX AK-450W,,ATX 450ВТ 200/240В 20+4 PIN 1ВЕНТИЛЯТОР=120Х120 140Х86Х150,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152584,4025100135,БЛОК ПИТАНИЯ,WINARD 600WA,,"600ВТ ATX ВЕНТИЛЯТОР=120 86Х150Х140 0,91КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152585,4025200016,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,SMART UPS 1000 2UINTERACTIVE,,1000,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152587,4025200037,ФИЛЬТР СЕТЕВОЙ,ZIS PILOT GL,,3М 5РОЗЕТОК,796,26.20.40.110,0,26,|тип|длина кабеля|особенности|максимальная нагрузка
152588,4025200042,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC 500 VA AVR,,,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152589,4025200051,БЛОК ПИТАНИЯ,ATX POWER MAN,,300ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152590,4025200060,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC SMART-UPS SUA750RMI2U,,750ВА,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152591,4025200061,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,SU700RMI2U,,700ВА,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152592,4025200087,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK POWER PRO 500,,500ВА,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152593,4025200120,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,UPS-BACK,,1000ВА,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152594,4025200122,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,BACK-UPS 700,,700,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152595,4025200130,БЛОК ПИТАНИЯ,POWER MAN ATX P4,,420ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152597,4025200207,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,SMART UPS-620,,,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152598,4025200225,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,SMART-UPS 750 XL,,,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152599,4025200239,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC SURT1000RMXLI,,1000ВА,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152600,4025200241,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,SMART UPS 1000VA USB W/PC,,1000ВА,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152601,4025200338,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON POWER PRO 2000,,2000ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152602,4025200357,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BK500EI,,500ВА,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152603,4025200358,БЛОК ПИТАНИЯ,ATX 550W CHIEFTEC,,,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152604,4025200374,БЛОК ПИТАНИЯ СЕРВЕРА ДОПОЛНИТЕЛЬНЫЙ,HP 399542-B21,,700ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152605,4025200377,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,POWERCOM IMPERIALIMD-1025AP,,1025ВА/615ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152606,4025200378,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC SUA2200RMI2U,,2.2КВА,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152607,4025200419,МОДУЛЬ БАТАРЕЙНЫЙ ИСТОЧНИКА БЕСПЕРЕБОЙНОГО ПИТАНИЯ,PW9120-BAT-3000,,3000ВА,796,26.20.40.110,0,26,аритикул маркета|модель/исполнение|номин. напряжение|емкость батареи|особенности
152608,4025200395,БЛОК ЭЛЕКТРОПИТАНИЯ,SQN100.102.107,,"40-130В/24В 4,16А 100ВТ 80Х40Х22 0,3КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152609,4025200421,БЛОК ПИТАНИЯ,XEON ATX-550-60PLN,,550ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152610,4025200424,БЛОК ПИТАНИЯ,CRESTRON PW-2420 RU,,24В 2А 50ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152611,4025200428,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BK525 CS,,525ВА,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152612,4025200429,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,FSP 450 PNF,,450В,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152613,4025200430,БЛОК ПИТАНИЯ ДЛЯ КАМЕРЫ,BOSCH TC220PSX-24,,50-60ГЦ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152614,4025200431,БЛОК ПИТАНИЯ МАРШРУТИЗАТОРА,CISCO PWR-7301/2-AC,,75ВТ 2А,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152615,4025200434,БЛОК ПИТАНИЯ ДЛЯ НОУТБУКА,PA-1900-02D2,,"100-240В/19,5В 1,5А/4,62А 90ВТ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152616,4025200435,БЛОК ПИТАНИЯ,THERMALTAKE W0143RE,,550ВТ ATX12V 2.2,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152617,4025200439,ИСТОЧНИК ПИТАНИЯ МОДУЛЬНЫЙ,AM5T-2424SH35,,6ВТ 3500VDC DC-DC 200MA,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152618,4025200449,БЛОК ПИТАНИЯ НОУТБУКА,SONY VGP-AC19V20,,"19,5В 3,9А",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152619,4025200451,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC UPS-500 SMART,,500ВА,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152620,4025200458,БЛОК ПИТАНИЯ,CE MARK COMPLIANT HOT PLUG POWER SUPPLY,,800ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152621,4025200460,БЛОК ПИТАНИЯ,231782-001,,600ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152622,4025200462,БЛОК ПИТАНИЯ,БПИ-3,ТУ 4218-013-42334258-99,36В 80МА 12ВА,796,26.20.40.110,1,26,|форм-фактор|мощность|стандарт эффективности|pfc
152623,4025200466,БЛОК ПИТАНИЯ,ATX POWER MASTER (P4) P 20+4 PIN 120FAN TUV,,350ВТ 12В,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152624,4025200467,БЛОК ПИТАНИЯ,TERMALTAKE WO116 TOUGH POWER,,750ВТ ATX,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
