,форм-фактор,мощность,стандарт эффективности,pfc,тип товара в одно слово,тип товара в 2 слова,Наименование,Параметры_изначальные,тип,длина кабеля,особенности,максимальная нагрузка,выходная мощность,выходных разъемов,разъемов с питанием от батареи,интерфейсы,аритикул маркета,модель/исполнение,номин. напряжение,емкость батареи,источник света,тип цоколя,тип питания,Тип товара в одно слово,Тип товара в 2 слова,артикул маркета,тип товара в два слова,назначение,модель совместимого устройства,тип аккумулятора,цвет товара,выход. напряжение (мин),корпус,артикула маркета
11,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['LINE-INTERACTIVE 2200ВА/1320ВТ USB/RJ11/45/USB CHARGER A/C 125ДЖ 50ДБ 148Х178Х298'],,,,,1320,,,"usb, rj11, 45",,,,,,,,,,,,,,,,,,
12,,850,80 plus bronze,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['850ВТ ATX 20+4ПИН 80 PLUS BRONZE ВЕНТИЛЯТОР 120ММ ТЕХНОЛОГИИ ЗАЩИТЫ OCP, OPP, OTP, OVP, SCP, UVP РАЗЪЕМЫ ДЛЯ ПИТАНИЯ ПРОЦЕССОРА 4+4PINX2ШТ МОДУЛЬНЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['3000ВА 2,1КВТ 440Х460Х86 9,5КГ ЧЕРНЫЙ']",,,,,3000ва,,,,,,,,,,,,,,,,,,,,,
14,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['13,8/13,4В 51ВТ AC=88-264В DC=120-370В 159Х97Х38 0,57']",,,,,51вт,,,,,,,,,,,,,,,,,,,,,
15,,,,,бесперебойник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1000ВА, 230В/8ХIEC320C13/USB/LКАБЕЛЯ=1,83М 171Х219Х439 18,86КГ ЧЕРНЫЙ']",,,,,1000,8,,usb,,,,,,,,,,,,,,,,,,
16,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['500ВА/300ВТ/4РАЗЪЕМА/USB/IP20 100Х140Х290 4,8КГ ЧЕРНЫЙ']",,,,,300,4,,usb,,,,,,,,,,,,,,,,,,
17,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['600ВА/360ВТ/4РАЗЪЕМА/USB/IP20 100Х140Х290 4,8КГ ЧЕРНЫЙ']",,,,,360вт,4,,usb,,,,,,,,,,,,,,,,,,
18,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['700ВА/420ВТ/4РАЗЪЕМА/USB/IP20 100Х140Х290 5КГ ЧЕРНЫЙ'],,,,,420,4,,usb,,,,,,,,,,,,,,,,,,
19,atx,450,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['450 ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
20,atx,1000,v2.2,,блок,блок питания,['БЛОК ПИТАНИЯ'],['1000ВТ ATX12V V2.2 1ВЕНТИЛЯТОР(140ММ) 86Х210Х150'],,,,,,,,,,,,,,,,,,,,,,,,,,
21,,1000,,,блок,блок питания,['БЛОК ПИТАНИЯ ИМПУЛЬСНЫЙ ГЕРМЕТИЧНЫЙ'],['1.25А 100-240/12В'],,,,,,,,,,,,,,,,,,,,,,,,,,
22,,"2,5",,,система,система питания,['СИСТЕМА АВТОНОМНОГО ПИТАНИЯ ДЛЯ СВЕТИЛЬНИКА ПЕРЕНОСНОГО СИНЕГО СВЕТА'],"['12В 2,5А/Ч']",,,,,,,,,,,,,,,автономное,,,,,,,,,,,
23,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['4А, 24В']",,,,,4,,,,,,,,,,,,,,,,,,,,,
24,atx,500,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['500ВТ ATX12V 2.2 1 ВЕНТИЛЯТОР(120ММ) 150Х165Х86'],,,,,,,,,,,,,,,,,,,,,,,,,,
25,atx,750,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['750ВТ ATX12V 2.2 1 ВЕНТИЛЯТОР (120 ММ)'],,,,,,,,,,,,,,,,,,,,,,,,,,
26,atx,600,,apfc,блок,блок питания,['БЛОК ПИТАНИЯ'],['600ВТ ATX 12В V2.3 APFC 12СМ FAN'],,,,,,,,,,,,,,,,,,,,,,,,,,
27,,1200,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['1200ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,модуль,модуль блока,['МОДУЛЬ БЛОКА ПИТАНИЯ'],"['AC 100-240В 11-4,4А/DC 920ВТ 12В 75А/5В 4А 76Х40Х360']",,,"11-4,4а/dc 920вт 12в 75а/5в 4а 76х40х360",,,,,,,pws-920p-sq,100-240в,,,,,,,,,,,,,,,
29,atx,750,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['750ВТ ATX12V 2.3 24+4+4 PIN 150Х86Х140 ЧЕРНЫЙ'],,,,,,,,,,,,,,,,,,,,,,,,,,
30,atx,600,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['600ВТ ATX12V 2.3 150Х86Х140 ЧЕРНЫЙ'],,,,,,,,,,,,,,,,,,,,,,,,,,
31,atx,600,86,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['600ВТ ATX 12В 86Х150Х140 1,91КГ ЧЕРНЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
32,,25а,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['5В 25А 40Х80Х10'],,,,,,,,,,,,,,,,,,,,,,,,,,
33,atx,550,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['ATX 550ВТ/ATX12V2.3/ВЕНТИЛЯТОР=120Х120/LКАБЕЛЯ=0,4М 86Х150Х140']",,,,,,,,,,,,,,,,,,,,,,,,,,
34,atx,450,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['ATX 450ВТ/ATX12V 2.3/ВЕНТИЛЯТОР=120Х120/86Х150Х140'],,,,,,,,,,,,,,,,,,,,,,,,,,
35,atx12v,600,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['600ВТ/ATX12V 2.3/100-240В/ВЕНТИЛЯТОР=120Х120/86Х150Х140'],,,,,,,,,,,,,,,,,,,,,,,,,,
36,atx,800,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['ATX 800ВТ/ATX12V 2.3/ВЕНТИЛЯТОР=135Х135/86Х150Х160'],,,,,,,,,,,,,,,,,,,,,,,,,,
37,atx,600,80 plus bronze,,,,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['600ВТ ATX12V=2.3/EPS12V/80 PLUS BRONZE ВЕНТИЛЯТОР=139Х139 165Х150Х85 1,9КГ']",,,,,,,,,,,,,,,,блок,блок питания,,,,,,,,,
38,atx,350,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['350ВТ ATX12V=2.3 ВЕНТИЛЯТОР=120Х120 140Х150Х86'],,,,,,,,,,,,,,,,,,,,,,,,,,
39,atx,450,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['450ВТ ATX12V=2.3 ВЕНТИЛЯТОР=120Х120 140Х150Х86'],,,,,,,,,,,,,,,,,,,,,,,,,,
40,atx,600,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['ATX 600ВТ ATX12V 2.31 ВЕНТИЛЯТОР=120Х120 140Х150Х86 1,53КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
41,,150,,,блок,блок питания,['БЛОК ПИТАНИЯ КОМПЬЮТЕРНОГО МОНОБЛОКА'],"['19,5В 7,69А 150ВТ ЧЕРНЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
42,atx,350,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['350ВТ ATX 12В V.2.2 150Х86Х160'],,,,,,,,,,,,,,,,,,,,,,,,,,
43,atx,550,v2.3,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['550ВТ ATX V2.3 12В 86Х150Х160'],,,,,,,,,,,,,,,,,,,,,,,,,,
44,tfx,300,"0,86",apfc,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['300ВТ TFX12V2.1 APFC 63Х84Х175 0,86КГ СЕРЕБРИСТЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ ДВОЙНОГО ПРЕОБРАЗОВАНИЯ (ОНЛАЙН) НАПОЛЬНОГО ИСПОЛНЕНИЯ БЕЗ ВСТРОЕННЫХ АКБ'],"['3В3 ФАЗЫ, 10КВА/9КВТ, ЖК-ДИСПЛЕЙ, ПОРТЫ RS232/RS485/USB/EPO, ВНУТРЕННИЕ СЛОТЫ ДЛЯ КАРТ (SNMP, СУХИЕ КОНТАКТЫ), 600Х780Х1200 129КГ ЧЕРНЫЙ']",,,,,10,,,rs232/rs485/usb/epo,,,,,,,,,,,,,,,,,,
46,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ ДВОЙНОГО ПРЕОБРАЗОВАНИЯ (ОНЛАЙН) НАПОЛЬНОГО ИСПОЛНЕНИЯ БЕЗ ВСТРОЕННЫХ АКБ'],"['3В3 ФАЗЫ, 80КВА/72КВТ, ЖК-ДИСПЛЕЙ, ПОРТЫ RS232/RS485/USB/EPO, ВНУТРЕННИЕ СЛОТЫ ДЛЯ КАРТ (SNMP, СУХИЕ КОНТАКТЫ), 600Х780Х1200 199КГ ЧЕРНЫЙ']",,,,,80,,,rs232/rs485/usb/epo,,,,,,,,,,,,,,,,,,
47,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ ДВОЙНОГО ПРЕОБРАЗОВАНИЯ (ОНЛАЙН) НАПОЛЬНО-СТОЕЧНОГО ИСПОЛНЕНИЯ'],"['19ДЮЙМОВ 2U, 1000ВА/900ВТ, IEC320 6XС13, АКБ 3Х9АЧ, ЖК-ДИСПЛЕЙ, ПОРТЫ RS232/USB/EPO, ВНУТРЕННИЙ СЛОТ ДЛЯ КАРТ (SNMP, MODBUS, СУХИЕ КОНТАКТЫ), 440Х430Х86,5 16,7КГ ЧЕРНЫЙ']",,,,,1000ва/900вт,6xс13,,rs232/usb/epo,,,,,,,,,,,,,,,,,,
48,,,,,ИБП,ИБП двойного преобразования,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ ДВОЙНОГО ПРЕОБРАЗОВАНИЯ (ОНЛАЙН) НАПОЛЬНО-СТОЕЧНОГО ИСПОЛНЕНИЯ'],"['19ДЮЙМОВ 3U, 10КВА/9КВТ, ЗУ 10А ДЛЯ ВНЕШНИХ АКБ, ЖК-ДИСПЛЕЙ, ПОРТЫ RS232/USB/EPO, ВНУТРЕННИЙ СЛОТ ДЛЯ КАРТ (SNMP, MODBUS, СУХИЕ КОНТАКТЫ), 443Х580Х131 25КГ ЧЕРНЫЙ']",,,,,10ква/9квт,,10а,rs232/usb/epo,,,,,,,,,,,,,,,,,,
49,,,,,модуль,батарейный модуль,['МОДУЛЬ БАТАРЕЙНЫЙ НАПОЛЬНО-СТОЕЧНОГО ИСПОЛНЕНИЯ ДЛЯ ИСТОЧНИКА БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['19ДЮЙМОВ 2U, АКБ 12Х9АЧ, ЗАРЯДНОЕ УСТРОЙСТВО 2А, СВЕТОДИОДНАЯ ИНДИКАЦИЯ, 440X690X86,5 44,3КГ ЧЕРНЫЙ']",,,"зарядное устройство 2а, светодиодная индикация",,,,,,,"бмсипб1,5-3ка.9-11",,12х9ач,,,,,,563473.005,,,,,,,,
50,atx,450,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['450ВТ ATX2.3 20+4PIN DВЕНТИЛЯТОРА=120 LПРОВОДОВ=350'],,,,,,,,,,,,,,,,,,,,,,,,,,
51,atx,550,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['550ВТ ATX12V=2.3 D=120 FAN 4ХSATA'],,,,,,,,,,,,,,,,,,,,,,,,,,
52,atx,600,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['600ВТ ATX 1ВЕНТИЛЯТОР D=120 20+4 PIN'],,,,,,,,,,,,,,,,,,,,,,,,,,
53,atx,450,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['450ВТ ATX12V2.3 EPS12V ВЕНТИЛЯТОР=120Х120 24+4+4 PIN 190Х150Х90'],,,,,,,,,,,,,,,,,,,,,,,,,,
54,atx,450,20+4 pin,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['ATX 450ВТ 200/240В 20+4 PIN 1ВЕНТИЛЯТОР=120Х120 140Х86Х150'],,,,,,,,,,,,,,,,,,,,,,,,,,
55,atx,600,86,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['600ВТ ATX ВЕНТИЛЯТОР=120 86Х150Х140 0,91КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1000'],,,,,1000,,,,,,,,,,,,,,,,,,,,,
57,,,,,фильтр,сетевой фильтр,['ФИЛЬТР СЕТЕВОЙ'],['3М 5РОЗЕТОК'],сетевой фильтр,3м,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],[nan],,,,,500 va,,,,,,,,,,,,,,,,,,,,,
59,atx,300,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['300ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['750ВА'],,,,,750,,,,,,,,,,,,,,,,,,,,,
61,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['700ВА'],,,,,700,,,,,,,,,,,,,,,,,,,,,
62,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['500ВА'],,,,,500,,,,,,,,,,,,,,,,,,,,,
63,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1000ВА'],,,,,1000ва,,,,,,,,,,,,,,,,,,,,,
64,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['700'],,,,,700,,,,,,,,,,,,,,,,,,,,,
65,atx,420,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['420ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],[nan],,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],[nan],,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1000ВА'],,,,,1000,,,,,,,,,,,,,,,,,,,,,
69,,,,,ups,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1000ВА'],,,,,1000,,,usb,,,,,,,,,,,,,,,,,,
70,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['2000ВТ'],,,,,2000,,,,,,,,,,,,,,,,,,,,,
71,,,,,источник,,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['500ВА'],,,,,500,,,,,,,,,,,,,,источник бесперебойного,,,,,,,
72,atx,550,,,блок,блок питания,['БЛОК ПИТАНИЯ'],[nan],,,,,,,,,,,,,,,,,,,,,,,,,,
73,,700,,,блок,блок питания,['БЛОК ПИТАНИЯ СЕРВЕРА ДОПОЛНИТЕЛЬНЫЙ'],['700ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,ИБП,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1025ВА/615ВТ'],,,,,1025,,,,,,,,,,,,,,,,,,,,,
75,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['2.2КВА'],,,,,2.2ква,,,,,,,,,,,,,,,,,,,,,
76,,,,,модуль,батарейный источник,['МОДУЛЬ БАТАРЕЙНЫЙ ИСТОЧНИКА БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['3000ВА'],,,,,,,,,pw9120-bat-3000,,,3000,,,,,,,,,,,,,,
77,,100,80,,блок,блок электропитания,['БЛОК ЭЛЕКТРОПИТАНИЯ'],"['40-130В/24В 4,16А 100ВТ 80Х40Х22 0,3КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
78,,50вт,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['24В 2А 50ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['525ВА'],,,,,525,,,,,,,,,,,,,,,,,,,,,
80,atx,450,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['450В'],,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,блок,блок питания,['БЛОК ПИТАНИЯ ДЛЯ КАМЕРЫ'],['50-60ГЦ'],,,,,,,,,,,,,,,,,,,,,,,,,,
82,блок питания,75,,,блок,блок питания,['БЛОК ПИТАНИЯ МАРШРУТИЗАТОРА'],['75ВТ 2А'],,,,,,,,,,,,,,,,,,,,,,,,,,
83,,90вт,,,блок,блок питания,['БЛОК ПИТАНИЯ ДЛЯ НОУТБУКА'],"['100-240В/19,5В 1,5А/4,62А 90ВТ']",,,,,,,,,,,,,,,,,,,,,,,,,,
84,atx,550,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['550ВТ ATX12V 2.2'],,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,модуль,источник питания,['ИСТОЧНИК ПИТАНИЯ МОДУЛЬНЫЙ'],['6ВТ 3500VDC DC-DC 200MA'],,,,,6 вт,,,,,,,,,,,,,,,,,,,,,
86,,75,,,блок,блок питания,['БЛОК ПИТАНИЯ НОУТБУКА'],"['19,5В 3,9А']",,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['500ВА'],,,,,500ва,,,,,,,,,,,,,,,,,,,,,
88,,800,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['800ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
89,,600,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['600ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
90,,12 ва,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['36В 80МА 12ВА'],,,,,,,,,,,,,,,,,,,,,,,,,,
91,atx,350,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['350ВТ 12В'],,,,,,,,,,,,,,,,,,,,,,,,,,
92,atx,750,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['750ВТ ATX'],,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,бесперебойник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['750ВА'],,,,,750,,,,,,,,,,,,,,,,,,,,,
94,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['600ВА 390Х232Х147 5,45КГ']",,,,,600,,,,,,,,,,,,,,,,,,,,,
95,din-рейка,10,,,блок,блок питания,['БЛОК ПИТАНИЯ НА DIN-РЕЙКУ'],['12В 10ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,ипс,,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['750ВА'],,,,,750,,,,,,,,,,,,,,источник бесперебойного питания,,,,,,,
97,,700,80+,,блок,блок питания,['БЛОК ПИТАНИЯ'],['700ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['TOWER 550ВА 330ВТ'],,,,,550,,,,,,,,,,,,,,,,,,,,,
99,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['350ВА/210ВТ'],,,,,350,,,"usb, serial",,,,,,,,,,,,,,,,,,
100,,650,,,блок,блок бесперебойного,['БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['650ВТ USB+RJ11'],,,,,,,,,,,,,,,,,,,,,,,,,,
101,atx,500,,,блок,блок питания,['БЛОК ПИТАНИЯ К СИСТЕМНОМУ БЛОКУ'],['500ВТ ATX'],,,,,,,,,,,,,,,,,,,,,,,,,,
102,,350,,,блок,блок бесперебойного питания,['БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['350ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
103,atx,600,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['600ВТ ATX 12V 2.2'],,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['500VA/300ВТ'],,,,,300,,,,,,,,,,,,,,,,,,,,,
105,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1000ВА'],,,,,1000,,,,,,,,,,,,,,,,,,,,,
106,,1,,,блок,блок питания,['БЛОК ПИТАНИЯ ДЛЯ ЩИТОВЫХ ЦИФРОВЫХ ПРИБОРОВ'],"['5В 2Х0,2А 2Х1ВА']",,,,,,,,,,,,,,,,,,,,,,,,,,
107,,15ва,,,блок,блок питания,['БЛОК ПИТАНИЯ ДЛЯ ЩИТОВЫХ ЦИФРОВЫХ ПРИБОРОВ'],['5В 3А 15ВА'],,,,,,,,,,,,,,,,,,,,,,,,,,
108,,450,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['450ВТ 4P/20P+1X6P FOR PCIEX 4X5P SATA'],,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,упс,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1500ВА 980ВТ'],,,,,1500,,,usb,,,,,,,,,,,,,,,,,,
110,,,,,бесперебойник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['650ВА 390ВТ'],,,,,650,,,,,,,,,,,,,,,,,,,,,
111,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['24В 7.2А/ЧАС 800ВА/480ВТ 140Х445Х200 14,5КГ']",,,,,800ва/480вт,,,,,,,,,,,,,,,,,,,,,
